AAR,BYDEL,ALDERSKAT,IETYPE,SOC_GRUPPE,SOCSTIL,PERSONER
2013,1,4,3,3,309,5
2013,1,4,3,3,312,2
2013,1,4,3,3,319,1
2013,1,4,3,3,322,2
2013,1,4,3,3,323,1
2013,1,4,3,3,331,4
2013,1,4,3,3,340,5
2013,1,4,3,3,350,3
2013,1,4,3,3,360,21
2013,1,5,1,1,115,71
2013,1,5,1,1,116,213
2013,1,5,1,1,118,61
2013,1,5,1,1,120,4
2013,1,5,1,1,131,135
2013,1,5,1,1,132,795
2013,1,5,1,1,133,166
2013,1,5,1,1,134,263
2013,1,5,1,1,135,42
2013,1,5,1,1,136,159
2013,1,5,1,2,201,31
2013,1,5,1,2,202,7
2013,1,5,1,3,309,8
2013,1,5,1,3,311,7
2013,1,5,1,3,312,2
2013,1,5,1,3,316,4
2013,1,5,1,3,319,1
2013,1,5,1,3,323,11
2013,1,5,1,3,324,377
2013,1,5,1,3,326,22
2013,1,5,1,3,329,665
2013,1,5,1,3,331,193
2013,1,5,1,3,333,83
2013,1,5,1,3,340,27
2013,1,5,1,3,350,2
2013,1,5,1,3,360,104
2013,1,5,2,1,115,4
2013,1,5,2,1,116,22
2013,1,5,2,1,118,4
2013,1,5,2,1,120,1
2013,1,5,2,1,131,9
2013,1,5,2,1,132,87
2013,1,5,2,1,133,15
2013,1,5,2,1,134,37
2013,1,5,2,1,135,7
2013,1,5,2,1,136,34
2013,1,5,2,2,201,5
2013,1,5,2,3,309,3
2013,1,5,2,3,319,1
2013,1,5,2,3,323,2
2013,1,5,2,3,324,44
2013,1,5,2,3,326,1
2013,1,5,2,3,329,81
2013,1,5,2,3,331,35
2013,1,5,2,3,333,5
2013,1,5,2,3,340,12
2013,1,5,2,3,360,80
2013,1,5,3,1,132,3
2013,1,5,3,1,133,1
2013,1,5,3,1,134,1
2013,1,5,3,2,201,1
2013,1,5,3,3,329,1
2013,1,5,3,3,331,1
2013,1,5,3,3,333,1
2013,1,6,1,1,115,50
2013,1,6,1,1,116,263
2013,1,6,1,1,118,53
2013,1,6,1,1,120,9
2013,1,6,1,1,131,29
2013,1,6,1,1,132,201
2013,1,6,1,1,133,27
2013,1,6,1,1,134,84
2013,1,6,1,1,135,12
2013,1,6,1,1,136,155
2013,1,6,1,3,323,2
2013,1,6,1,3,329,4124
2013,1,6,1,3,333,3
2013,1,6,1,3,360,14
2013,1,6,2,1,115,2
2013,1,6,2,1,116,20
2013,1,6,2,1,118,7
2013,1,6,2,1,120,3
2013,1,6,2,1,131,3
2013,1,6,2,1,132,29
2013,1,6,2,1,133,4
2013,1,6,2,1,134,7
2013,1,6,2,1,135,1
2013,1,6,2,1,136,19
2013,1,6,2,3,329,404
2013,1,6,2,3,333,1
2013,1,6,2,3,340,6
2013,1,6,2,3,360,35
2013,1,6,3,1,116,3
2013,1,6,3,1,132,1
2013,1,6,3,1,134,1
2013,1,6,3,1,135,1
2013,1,6,3,3,329,12
2013,1,6,3,3,360,3
2013,2,1,1,1,132,11
2013,2,1,1,1,134,68
2013,2,1,1,1,135,55
2013,2,1,1,1,136,55
2013,2,1,1,3,400,10227
2013,2,1,2,1,132,1
2013,2,1,2,1,133,1
2013,2,1,2,1,135,2
2013,2,1,2,3,400,416
2013,2,1,3,1,134,7
2013,2,1,3,1,135,3
2013,2,1,3,1,136,6
